Time	Rate
1993-Jan	0.06
1993-Feb	0.06
1993-Mar	0.06
1993-Apr	0.06
1993-May	0.06
1993-Jun	0.06
1993-Jul	0.06
1993-Aug	0.06
1993-Sep	0.06
1993-Oct	0.06
1993-Nov	0.06
1993-Dec	0.06
1994-Jan	0.06
1994-Feb	0.06
1994-Mar	0.0625
1994-Apr	0.0675
1994-May	0.0725
1994-Jun	0.0725
1994-Jul	0.0725
1994-Aug	0.0775
1994-Sep	0.0775
1994-Oct	0.0775
1994-Nov	0.085
1994-Dec	0.085
1995-Jan	0.085
1995-Feb	0.09
1995-Mar	0.09
1995-Apr	0.09
1995-May	0.09
1995-Jun	0.09
1995-Jul	0.0875
1995-Aug	0.0875
1995-Sep	0.0875
1995-Oct	0.0875
1995-Nov	0.0875
1995-Dec	0.085
1996-Jan	0.0825
1996-Feb	0.0825
1996-Mar	0.0825
1996-Apr	0.0825
1996-May	0.0825
1996-Jun	0.0825
1996-Jul	0.0825
1996-Aug	0.0825
1996-Sep	0.0825
1996-Oct	0.0825
1996-Nov	0.0825
1996-Dec	0.0825
1997-Jan	0.0825
1997-Feb	0.0825
1997-Mar	0.085
1997-Apr	0.085
1997-May	0.085
1997-Jun	0.085
1997-Jul	0.085
1997-Aug	0.085
1997-Sep	0.085
1997-Oct	0.085
1997-Nov	0.085
1997-Dec	0.085
1998-Jan	0.085
1998-Feb	0.085
1998-Mar	0.085
1998-Apr	0.085
1998-May	0.085
1998-Jun	0.085
1998-Jul	0.085
1998-Aug	0.085
1998-Sep	0.0825
1998-Oct	0.08
1998-Nov	0.0775
1998-Dec	0.0775
1999-Jan	0.0775
1999-Feb	0.0775
1999-Mar	0.0775
1999-Apr	0.0775
1999-May	0.0775
1999-Jun	0.0775
1999-Jul	0.08
1999-Aug	0.0825
1999-Sep	0.0825
1999-Oct	0.0825
1999-Nov	0.085
1999-Dec	0.085
2000-Jan	0.085
2000-Feb	0.0875
2000-Mar	0.09
2000-Apr	0.09
2000-May	0.095
2000-Jun	0.095
2000-Jul	0.095
2000-Aug	0.095
2000-Sep	0.095
2000-Oct	0.095
2000-Nov	0.095
2000-Dec	0.095
2001-Jan	0.09
2001-Feb	0.085
2001-Mar	0.08
2001-Apr	0.075
2001-May	0.07
2001-Jun	0.0675
2001-Jul	0.0675
2001-Aug	0.065
2001-Sep	0.06
2001-Oct	0.055
2001-Nov	0.05
2001-Dec	0.0475
2002-Jan	0.0475
2002-Feb	0.0475
2002-Mar	0.0475
2002-Apr	0.0475
2002-May	0.0475
2002-Jun	0.0475
2002-Jul	0.0475
2002-Aug	0.0475
2002-Sep	0.0475
2002-Oct	0.0475
2002-Nov	0.0425
2002-Dec	0.0425
2003-Jan	0.0425
2003-Feb	0.0425
2003-Mar	0.0425
2003-Apr	0.0425
2003-May	0.0425
2003-Jun	0.04
2003-Jul	0.04
2003-Aug	0.04
2003-Sep	0.04
2003-Oct	0.04
2003-Nov	0.04
2003-Dec	0.04